,index,distance,pert point,ori point
10,10,0.0670826332435746,"[0.93072899 0.28352673 0.17714573 0.25862514 0.88207578 0.31766932
 0.21245198 0.83270009]","[0.68647425 0.125      0.24652713 0.32896564 0.6936716  0.36063542
 0.1246809  0.75483879]"
11,11,0.025987824884809854,"[0.82055667 0.10724799 0.04629103 0.3461891  0.81799789 0.48098957
 0.63648285 0.43360714]","[0.83191851 0.109375   0.03521854 0.32896564 0.83555634 0.47782715
 0.64977703 0.42907147]"
12,12,0.006011121162403471,"[0.70467026 0.6869812  0.2947264  0.38199881 0.63767036 0.29670138
 0.3734976  0.63201584]","[0.7074137  0.6875     0.29697546 0.37598769 0.63955677 0.2981826
 0.37526792 0.62903215]"
13,13,0.0719067719085677,"[0.48339276 0.05762957 0.34797784 0.24046526 0.5396077  0.45047949
 0.02161743 0.80142625]","[0.86757216 0.125      0.35218276 0.45524284 0.55178327 0.39632237
 0.1246809  0.75483879]"
14,14,0.017117343515691566,"[0.59769582 0.72465155 0.28295379 0.40106247 0.60063655 0.40578055
 0.44884878 0.61232723]","[0.66610074 0.8125     0.32554803 0.38131722 0.63683575 0.3204866
 0.40192516 0.62903215]"
15,15,0.049497241684519494,"[0.42297037 0.97495062 0.11956641 0.67215052 0.59899825 0.72309163
 0.60413389 0.86364834]","[0.76117714 0.828125   0.36509729 0.37526792 0.59907938 0.3874013
 0.37526792 0.59907938]"
16,16,0.051933726822296196,"[0.78476788 0.12954977 0.29677551 0.25377036 0.73125067 0.11038213
 0.26325359 0.89148267]","[0.80531975 0.140625   0.28174567 0.24478404 0.74096771 0.09572281
 0.27068631 0.89861782]"
17,17,0.0863686728373037,"[0.54644892 0.17367789 0.30671997 0.38190091 0.63595023 0.22984362
 0.69645323 0.42977132]","[0.90152801 0.125      0.36063542 0.1246809  0.75483879 0.35698456
 0.78241384 0.35400085]"
18,18,0.06309467046137271,"[0.62095043 0.68562751 0.3411562  0.46114279 0.73189689 0.26765
 0.39348325 0.69582405]","[0.74929259 0.828125   0.3874013  0.40192516 0.59907938 0.36509729
 0.40192516 0.59907938]"
19,19,0.03624405170598855,"[0.78373967 0.14089578 0.20970322 0.56170008 0.58775894 0.24616719
 0.1731628  0.90453596]","[0.80871534 0.15625    0.20490619 0.56949181 0.58740812 0.23966703
 0.15403809 0.9141783 ]"
20,20,0.0720554228272092,"[0.55574301 0.10474431 0.24300103 0.63204739 0.54088252 0.1284212
 0.30143052 0.86315772]","[0.86134692 0.125      0.28925885 0.59386496 0.51520948 0.22208185
 0.37056219 0.67308245]"
21,21,0.04493101278364626,"[0.62416811 0.46394899 0.08566783 0.31413212 0.42474604 0.80040822
 0.83183593 1.08228681]","[0.6910017  0.796875   0.26227617 0.17565691 0.78172547 0.35337652
 0.36035739 0.67523194]"
22,22,0.037461976513865305,"[0.77861046 0.125      0.29660349 0.26911778 0.66004702 0.38600661
 0.18532703 0.68669523]","[0.81607244 0.125      0.31696421 0.24478404 0.64637549 0.39632237
 0.20998535 0.65898851]"
23,23,0.00794845606960951,"[0.65084602 0.8117218  0.32580438 0.35067724 0.61308242 0.38406864
 0.37659557 0.65749654]","[0.64289757 0.8125     0.32554803 0.35443285 0.60663138 0.3874013
 0.37526792 0.65898851]"
24,24,0.03003846468646942,"[0.60661884 0.7885121  0.27499136 0.21667495 0.78270622 0.23542129
 0.36002078 0.68896687]","[0.59139785 0.765625   0.27203233 0.20704547 0.78500004 0.2258826
 0.37251038 0.69203971]"
25,25,0.05024674371231132,"[0.67204108 0.17961205 0.20243729 0.3796689  0.63309752 0.20910962
 0.17220471 0.90355769]","[0.79286927 0.15625    0.25994486 0.41715878 0.59907938 0.20490619
 0.11249272 0.96085976]"
26,26,0.03355878974014826,"[0.60510494 0.15723446 0.3579685  0.34365975 0.63168055 0.27848372
 0.32302762 0.7572639 ]","[0.79400113 0.15625    0.28331147 0.33083705 0.73886494 0.20490619
 0.23712884 0.86749685]"
27,27,0.006992757648713877,"[0.89920457 0.07030946 0.91896223 0.42105798 0.31171256 0.79189971
 0.36636948 0.55078044]","[0.90039615 0.0625     0.9246032  0.42145183 0.30797718 0.79632504
 0.3663811  0.54915571]"
28,28,0.032379928083993474,"[0.74017758 0.1556259  0.17852023 0.34229458 0.69558662 0.25977241
 0.13113511 0.86874215]","[0.78551217 0.140625   0.17609272 0.32896564 0.74096771 0.21622548
 0.17626152 0.82895688]"
29,29,0.03849458937226163,"[0.58275851 0.8808901  0.28032531 0.49169251 0.68994684 0.40124206
 0.2853112  0.76893559]","[0.68704018 0.796875   0.30305399 0.38131722 0.63683575 0.30801103
 0.2790261  0.76661789]"
30,30,0.05374889241011391,"[0.94087961 0.19780031 0.43585215 0.41911861 0.76979733 0.12294529
 0.4686496  0.76225226]","[0.73571024 0.125      0.31696421 0.41315044 0.64637549 0.14650839
 0.46590509 0.61105977]"
31,31,0.03801646946139686,"[0.69695094 0.14183365 0.19715174 0.15149989 0.91288203 0.3532931
 0.16986961 0.75104696]","[0.67911715 0.125      0.20490619 0.15403809 0.9141783  0.36063542
 0.16733312 0.75483879]"
32,32,0.016211057453519834,"[0.85537003 0.12554661 0.59810001 0.56061377 0.53184118 0.32892005
 0.51012128 0.60232073]","[0.83701188 0.125      0.6104494  0.55777388 0.52995402 0.32494848
 0.50856052 0.61105977]"
33,33,0.056922629550671996,"[0.76971801 0.73951692 0.3786597  0.34145415 0.6835283  0.33793211
 0.40271075 0.60437852]","[0.79852858 0.765625   0.36432644 0.34493183 0.66105174 0.3204866
 0.40192516 0.59907938]"
34,34,0.049436235431818604,"[0.19266594 0.505733   0.06885586 0.51141135 0.46564162 0.0844233
 0.77035707 0.34731524]","[0.70005659 0.8125     0.24051551 0.14964907 0.78172547 0.3480394
 0.40819839 0.60663138]"
35,35,0.09373714032724588,"[0.80075296 0.16581346 0.07239301 0.4649801  0.5263615  0.37358922
 0.53361331 0.62407028]","[0.89417091 0.125      0.11082144 0.55121274 0.56313463 0.28925885
 0.46590509 0.61105977]"
36,36,0.08914469878162225,"[ 1.67324129 -0.64895101  0.44770261 -0.43686436  0.42165775 -0.25343185
  0.21945866  1.37926226]","[0.66440294 0.109375   0.26080672 0.34716793 0.76908729 0.11612644
 0.34716793 0.6719394 ]"
37,37,0.0349556328754449,"[0.79257351 0.15252241 0.18315909 0.29376391 0.6834615  0.37184689
 0.78009611 0.32453168]","[0.76513865 0.15625    0.17014534 0.32021958 0.68077103 0.37253018
 0.79291614 0.29954095]"
38,38,0.0683429968733194,"[ 0.44936787 -0.24904848  0.16454606  0.14024832  0.64249919  0.74319469
  0.24293078  0.90513495]","[0.8573854  0.140625   0.31696421 0.24478404 0.88285245 0.35218276
 0.28687324 0.59907938]"
39,39,0.024693607829502154,"[0.71332673 0.06300158 0.3474377  0.25543125 0.77490979 0.19857511
 0.3230124  0.84230293]","[0.76174307 0.140625   0.28174567 0.24478404 0.74096771 0.13248842
 0.22674169 0.81303695]"
40,40,0.056568612727996244,"[0.82384296 0.09234785 0.24808191 0.3846966  0.7526882  0.38258127
 0.3652597  0.66235209]","[0.84946237 0.109375   0.26080672 0.39039917 0.76908729 0.37952946
 0.37056219 0.67308245]"
41,41,0.055684300521251555,"[ 0.56824445  0.02895787 -0.01436508  0.12424802  0.70881745  0.27277685
  0.32277075  0.56469122]","[0.80475382 0.125      0.14087417 0.16059924 0.88285245 0.25357191
 0.42325287 0.56313463]"
42,42,0.002396574678267786,"[0.66617784 0.82833116 0.36553711 0.37503124 0.59929069 0.34318429
 0.3223167  0.71864022]","[0.66666667 0.828125   0.36509729 0.37526792 0.59907938 0.34279061
 0.32195024 0.71889404]"
43,43,0.05634481502578664,"[1.04657812 0.17214433 0.00973558 0.32978001 0.41346463 0.39953735
 0.22469627 0.77232365]","[0.70797963 0.125      0.14087417 0.37105804 0.74096771 0.28925885
 0.42325287 0.65898851]"
44,44,0.12938375424448217,"[0.67310634 0.76852417 0.27747468 0.28878044 0.69613274 0.36095861
 0.45029637 0.6018582 ]","[0.8024901  0.796875   0.33069511 0.2790261  0.7361583  0.3204866
 0.40192516 0.62903215]"
45,45,0.04759319726043582,"[ 0.26477478  0.99241386 -0.03211095  0.20436128  0.48014207  0.79894269
  0.59336919  0.81231897]","[0.68590832 0.828125   0.27587591 0.37526792 0.65898851 0.2981826
 0.40192516 0.62903215]"
46,46,0.0773526658606234,"[0.66924265 0.82949829 0.39228146 0.38917194 0.5960992  0.27827074
 0.32881903 0.65861618]","[0.745897   0.84375    0.44823211 0.39575749 0.56194486 0.20091807
 0.28480349 0.70220129]"
47,47,0.017362374242954934,"[0.87770624 0.09949537 0.81535972 0.74250955 0.16651009 0.28759282
 0.45281062 0.66144823]","[0.90096208 0.078125   0.83350017 0.7662557  0.14976994 0.28925885
 0.46590509 0.65898851]"
48,48,0.0032977626966183412,"[0.79283279 0.14045715 0.28297647 0.290171   0.59920808 0.42375482
 0.41450693 0.50347104]","[0.79286927 0.140625   0.28174567 0.28687324 0.59907938 0.42261984
 0.41315044 0.50448716]"
49,49,0.039498957664029236,"[0.69265445 0.75060378 0.36632851 0.54901953 0.48557593 0.22358994
 0.37839136 0.71838383]","[0.73005093 0.765625   0.37107947 0.56577777 0.5187141  0.2258826
 0.37251038 0.69203971]"
50,50,0.03604839646488455,"[0.86833678 0.13781637 0.75461371 0.45895558 0.39249027 0.24650231
 0.4585417  0.70129409]","[0.90096208 0.109375   0.76718771 0.47685846 0.38049573 0.23966703
 0.48640106 0.68077103]"
51,51,0.025091079513299377,"[0.63629651 0.828125   0.34677155 0.36298242 0.58513046 0.34299483
 0.3596204  0.61115651]","[0.61120543 0.828125   0.36509729 0.34861068 0.56912662 0.33763015
 0.34288127 0.62135794]"
52,52,0.025626992219501512,"[0.60586915 0.83237321 0.23443893 0.15102177 0.91492698 0.3960334
 0.38710867 0.60545733]","[0.59196378 0.828125   0.24479537 0.153699   0.90844152 0.40970531
 0.37526792 0.59907938]"
53,53,0.0005950927734375,"[0.68259342 0.76502991 0.38147485 0.42096627 0.40733338 0.27213048
 0.40047255 0.56782915]","[0.68251273 0.765625   0.38168143 0.42106475 0.40706609 0.27203233
 0.40008893 0.56809141]"
54,54,0.05447566643100722,"[0.74162599 0.1394043  0.18045811 0.25005913 0.83213091 0.14365921
 0.38626557 0.67267166]","[0.78494624 0.15625    0.13538449 0.19558347 0.86749685 0.15910441
 0.40819839 0.67308245]"
55,55,0.0443097828900845,"[0.68725081 0.75671761 0.49904059 0.41919782 0.42052836 0.32180844
 0.36734903 0.55722955]","[0.74872666 0.8125     0.48299296 0.43507956 0.42539792 0.34279061
 0.4285856  0.59907938]"
56,56,0.06551049894547505,"[0.5092674  0.91024394 0.5375437  0.43337195 0.57897394 0.46394496
 0.17073976 0.33159201]","[0.73967176 0.828125   0.27126951 0.422194   0.65106628 0.36509729
 0.4285856  0.56912662]"
57,57,0.02506519509964109,"[0.74227253 0.09387393 0.04067279 0.40291558 0.82301462 0.1796561
 0.3278853  0.69893194]","[0.77419355 0.125      0.03944488 0.38060064 0.85069267 0.17014534
 0.32021958 0.68077103]"
58,58,0.04844363131327944,"[0.78031324 0.1292342  0.41317869 0.38746422 0.52071008 0.15310075
 0.39973559 0.66483653]","[0.84493492 0.140625   0.35218276 0.37105804 0.55178327 0.21050025
 0.42766428 0.60940991]"
59,59,0.05075402689383488,"[0.22206945 0.5062667  0.26643907 0.42774913 0.86992865 0.72878075
 0.07887619 1.01506309]","[0.70118846 0.8125     0.30305399 0.19313943 0.75766046 0.32554803
 0.32755168 0.66704373]"
60,60,0.0625173341995221,"[0.65374182 0.74391513 0.15587827 0.06075877 0.96804288 0.36669198
 0.40062697 0.58868242]","[0.62988115 0.8125     0.13003667 0.         1.         0.3480394
 0.38131722 0.60663138]"
61,61,0.024939648769100167,"[0.756611   0.13397217 0.24956712 0.29970941 0.7097269  0.19952494
 0.36558177 0.6728391 ]","[0.78155065 0.140625   0.24652713 0.28687324 0.6936716  0.22208185
 0.37056219 0.67308245]"
62,62,0.03776376127614173,"[0.70416064 0.68626027 0.35302168 0.42957113 0.62828783 0.40882103
 0.33481682 0.54139491]","[0.76740238 0.6875     0.29697546 0.37598769 0.63955677 0.42142609
 0.33324589 0.58384959]"
63,63,0.04933220770829459,"[0.78634895 0.12236463 0.08096871 0.33512078 0.84551777 0.29948903
 0.12214857 0.91857827]","[0.70458404 0.125      0.03944488 0.38060064 0.85069267 0.27442788
 0.19558347 0.9141783 ]"
64,64,0.05303486944964356,"[0.61147805 0.06426236 0.35174229 0.29815015 0.58193111 0.20594259
 0.49537099 0.61713417]","[0.8262592  0.125      0.25357191 0.295293   0.65898851 0.25357191
 0.38060064 0.75483879]"
65,65,0.05283187830824631,"[ 1.10952855  0.70160298  0.50209505  0.0676543   0.26144739 -0.01545442
  0.54262982  0.58306154]","[0.53027731 0.828125   0.2981826  0.40192516 0.68894127 0.20091807
 0.28480349 0.70220129]"
66,66,0.01076388070386196,"[0.65132116 0.79186749 0.31977162 0.41240764 0.60635469 0.32189682
 0.35847412 0.65093401]","[0.67006225 0.796875   0.32554803 0.40819839 0.60663138 0.30801103
 0.36035739 0.64477236]"
67,67,0.03663923956086939,"[0.77721942 0.09558135 0.33936651 0.33455822 0.7725667  0.32479011
 0.37066188 0.61180895]","[0.82342954 0.140625   0.31696421 0.28687324 0.74096771 0.30959289
 0.362248   0.61997766]"
68,68,0.04027687110875551,"[0.61756331 0.81692505 0.33043118 0.37205462 0.64310948 0.33109109
 0.35695489 0.64690825]","[0.57781551 0.8125     0.32554803 0.38131722 0.63683575 0.37053077
 0.38131722 0.60663138]"
69,69,0.09373481485468049,"[-0.67582908 -0.81210585 -0.34405876  0.50587811  0.54326056  1.02346206
  0.20813996  2.08204304]","[0.88285229 0.140625   0.24652713 0.32896564 0.6936716  0.35218276
 0.37105804 0.6936716 ]"
70,70,0.007753182569244779,"[0.67043919 0.76841389 0.27071533 0.28650508 0.68885821 0.3567167
 0.45417629 0.59884682]","[0.6598755  0.765625   0.27203233 0.28977793 0.69203971 0.36509729
 0.45524284 0.59907938]"
71,71,0.046566705194181726,"[0.81128249 0.14360651 0.38644691 0.58338929 0.61114056 0.5251278
 0.5339285  0.40477945]","[0.78947368 0.125      0.39632237 0.59386496 0.61105977 0.52827547
 0.53942764 0.40989494]"
72,72,0.0492652448791464,"[0.60180218 0.83627158 0.31893563 0.0792487  0.76669597 0.36152611
 0.3758437  0.60294867]","[0.57328806 0.828125   0.31550815 0.07850018 0.76989246 0.3874013
 0.37526792 0.59907938]"
73,73,0.10133717786450022,"[0.30935073 0.4692797  0.03358164 0.42934418 0.73554866 0.33457186
 0.06642255 0.47644379]","[0.78664403 0.828125   0.36509729 0.37526792 0.68894127 0.36509729
 0.34861068 0.65898851]"
74,74,0.07071960514522939,"[0.48257011 0.15179987 0.26163454 0.52648668 0.69320424 0.46492767
 0.4935204  0.97613251]","[0.85398981 0.109375   0.26080672 0.39039917 0.76908729 0.18219534
 0.46590509 0.85069267]"
75,75,0.08663487306842237,"[0.46612429 0.18359311 0.13935193 1.12205154 0.5483164  0.19437767
 0.15399369 0.49507024]","[0.91114884 0.125      0.57476245 0.72182484 0.32350172 0.28174567
 0.24478404 0.74096771]"
76,76,0.03831549040349847,"[0.77527486 0.10235161 0.23592219 0.32415436 0.69763841 0.36046794
 0.72211736 0.52662233]","[0.7549519  0.109375   0.24652713 0.32896564 0.6936716  0.3693156
 0.73623632 0.52621936]"
77,77,0.06329097681024629,"[0.47724907 0.50508203 0.44387797 0.22840896 0.37941424 0.42081429
 0.44886771 0.64889273]","[0.71816638 0.828125   0.34279061 0.34861068 0.65898851 0.2312679
 0.295293   0.7488504 ]"
78,78,0.00462188516117063,"[0.7875549  0.13997061 0.0023086  0.37327687 0.74113046 0.38897146
 0.49767439 0.50416184]","[0.78834182 0.140625   0.         0.37105804 0.74096771 0.3874013
 0.49733524 0.50448716]"
79,79,0.025099526788273582,"[0.57495726 0.7357245  0.3126724  0.33398611 0.75068442 0.4475397
 0.26507171 0.6634094 ]","[0.67289191 0.765625   0.27203233 0.28977793 0.69203971 0.3204866
 0.37526792 0.68894127]"
80,80,0.04183622183675722,"[0.8625823  0.05358519 0.1244552  0.31689571 0.75697728 0.74429706
 0.5432638  0.45191228]","[0.89303905 0.046875   0.0961243  0.295293   0.75766046 0.75065175
 0.56949181 0.47070628]"
81,81,0.0059814453125,"[0.83573854 0.08410645 0.26227098 0.604899   0.62288739 0.4597138
 0.54207878 0.64941867]","[0.83644595 0.078125   0.26080672 0.60654579 0.62336725 0.46175156
 0.54410457 0.64900305]"
82,82,0.06742320220887439,"[0.64193153 0.49704636 0.30433356 0.7045292  0.37502048 0.33306038
 0.14126591 0.78975838]","[0.7311828  0.78125    0.38168143 0.39372293 0.43778807 0.30801103
 0.2790261  0.7361583 ]"
83,83,0.043417508583090375,"[0.72259274 0.24254306 0.28758442 0.39659832 0.59564922 0.15761614
 0.39992816 0.6891149 ]","[0.78494624 0.265625   0.32367174 0.41715878 0.59907938 0.17973555
 0.35412575 0.69203971]"
84,84,0.007085768559907652,"[0.75682656 0.12597733 0.21901673 0.20822475 0.75669219 0.18045382
 0.35153173 0.69289931]","[0.76004527 0.125      0.21788496 0.20998535 0.75483879 0.17973555
 0.35412575 0.69203971]"
85,85,0.021316824718353573,"[0.78960806 0.14927605 0.10459575 0.35483782 0.72793592 0.38553633
 0.40508199 0.62481977]","[0.79966044 0.15625    0.10062364 0.36176495 0.72745248 0.37871042
 0.40331032 0.63408958]"
86,86,0.04735034478222549,"[0.72428604 0.78697078 0.36319644 0.3732024  0.65625521 0.33541829
 0.43049264 0.61403484]","[0.74872666 0.8125     0.3480394  0.38131722 0.63683575 0.33763015
 0.422194   0.5916532 ]"
87,87,0.054888598562897815,"[0.56330118 0.72481315 0.28813088 0.51968736 0.72374337 0.23767685
 0.3872251  0.70530928]","[0.73231466 0.765625   0.36432644 0.34493183 0.66105174 0.30305399
 0.38131722 0.63683575]"
88,88,0.012821477504606361,"[0.7849149  0.13119006 0.17497147 0.31777435 0.67649532 0.25094859
 0.4294198  0.56568308]","[0.79117148 0.125      0.17014534 0.32021958 0.68077103 0.25357191
 0.42325287 0.56313463]"
89,89,0.05958516191475008,"[ 0.64561237  0.1207215  -0.00977796  0.54848375  0.47851534  0.46665531
  0.52030537  0.66937047]","[0.87266553 0.078125   0.15910441 0.33292919 0.71537145 0.46175156
 0.54410457 0.64900305]"
90,90,0.038298288494446046,"[0.70355795 0.11390415 0.19814047 0.29164025 0.85381678 0.43287152
 0.05651566 0.70720535]","[0.78720996 0.125      0.10565563 0.20269164 0.88285245 0.39632237
 0.1246809  0.75483879]"
91,91,0.008681527472984474,"[0.75336464 0.125      0.11612245 0.54253121 0.56823373 0.1494586
 0.2805376  0.74150955]","[0.75608376 0.125      0.11082144 0.55121274 0.56313463 0.14087417
 0.28687324 0.74096771]"
92,92,0.05059629110149182,"[0.80471018 0.09888178 0.26552165 0.37419996 0.7579203  0.60631706
 0.90742457 0.28800525]","[0.90039615 0.140625   0.23966703 0.27867421 0.77413394 0.56349134
 0.87616364 0.2207141 ]"
93,93,0.024062940009129275,"[0.67103235 0.71667521 0.37920085 0.4062225  0.59883757 0.3551056
 0.30543678 0.75052473]","[0.72382569 0.75       0.3932202  0.4065637  0.60689377 0.30801103
 0.2790261  0.76661789]"
94,94,0.0043939970425274635,"[0.69766465 0.75152588 0.391364   0.40282844 0.60732616 0.28200656
 0.26939214 0.78734258]","[0.70175439 0.75       0.3932202  0.4065637  0.60689377 0.28056262
 0.27378614 0.78786483]"
95,95,0.053036230338165874,"[0.80805435 0.14050293 0.36574928 0.40815422 0.54902288 0.31713016
 0.45634655 0.59833493]","[0.85681947 0.15625    0.37952946 0.44583459 0.54621903 0.30918873
 0.40331032 0.63408958]"
96,96,0.07272140496854836,"[ 0.21707764 -0.09415665  0.10349007  0.49446168  0.43943409  0.64376324
  0.28649781  0.61000113]","[0.86530843 0.140625   0.28174567 0.37105804 0.6936716  0.3874013
 0.37105804 0.55178327]"
97,97,0.08740737451335549,"[0.36644329 1.02586192 0.0857314  0.0802993  0.96283555 0.17079274
 0.26155373 0.87137977]","[0.4057725  0.828125   0.3204866  0.028711   0.77880316 0.17154787
 0.04246988 0.94693116]"
98,98,0.047122682520453665,"[0.68370184 0.84831806 0.08805502 0.70623509 0.48983377 0.46154489
 0.38849504 0.51827638]","[0.63837012 0.84375    0.06559782 0.70554514 0.52362415 0.44823211
 0.39575749 0.56194486]"
99,99,0.04134426652176035,"[ 0.78034782  0.09051792 -0.00321632  0.21580848  0.73067884  0.62193896
  0.7525738   0.34100025]","[0.86983588 0.125      0.0658628  0.27867421 0.82081539 0.57476245
 0.72182484 0.32350172]"
